% Data generated with y=2x^2+-5x+3

@RELATION linear01

@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC

@DATA
0,3
1,-4
2,0
3,11
4,15
5,31
6,48
7,62
8,92
9,116
10,158
11,185
12,235
13,272
14,322
15,376
16,432
17,495
18,559
19,635
20,704
21,776
22,862
23,943
24,1039
25,1133
26,1225
27,1326
28,1431
29,1538
30,1648
31,1772
32,1892
33,2014
34,2145
35,2275
36,2412
37,2553
38,2705
39,2850
40,2998
41,3160
42,3323
43,3485
44,3659
45,3824
46,4009
47,4184
48,4376
49,4565
50,4752
51,4954
52,5147
53,5352
54,5563
